CategoryID,Category,ItemID,Item,Size,Price,Image,Note,Extra
CAT07,Món mới,MM01,Trà Ô long Hoa Nhài hạt sen,L,29000,assets/images/trà_ô_long_hoa_nhài_hạt_sen.jpg,,
CAT07,Món mới,MM02,Trà Ô long Quế Hoa,L,29000,assets/images/trà_ô_long_quế_hoa.jpg,,
CAT07,Món mới,MM03,Trà Ô long Hoa Hồng - Vải,L,29000,assets/images/trà_ô_long_hoa_hồng__vải.jpg,,
CAT07,Món mới,MM04,Trà sữa Ô long Hoa Nhài hạt sen,L,29000,assets/images/trà_sữa_ô_long_hoa_nhài_hạt_sen.jpg,,
CAT07,Món mới,MM05,Trà sữa Ô long Quế Hoa,L,29000,assets/images/trà_sữa_ô_long_quế_hoa.jpg,,
CAT07,Món mới,MM06,Trà sữa Ô long Hoa Hồng,L,29000,assets/images/trà_sữa_ô_long_hoa_hồng.jpg,,
CAT07,Món mới,MM07,Trà sữa Ô long Truyền Thống,L,29000,assets/images/trà_sữa_ô_long_truyền_thống.jpg,,
CAT07,Món mới,MM08,Trà sữa Ô long kem Cheese,L,29000,assets/images/trà_sữa_ô_long_kem_cheese.jpg,,
CAT08,Healthy,H01,Matcha Oat Milk Cần Tây tươi,,28000,assets/images/matcha_oat_milk_cần_tây_tươi.jpg,,
CAT08,Healthy,H02,Oat Milk Cần Tây tươi (Không đường),,25000,assets/images/oat_milk_cần_tây_tươi_không_đường.jpg,,
